T3,u,m_loi,z1,overload_ratio,suggested_m
975920.66,3.5,1.5,18,1.3,2.0
1582244.43,4.09,2.0,22,1.38,2.5
1592261.64,4.0,2.5,23,1.23,3.0
785842.38,3.18,1.5,29,1.25,2.0
1552814.67,3.99,2.5,27,1.34,3.0
1634281.96,3.84,2.0,26,1.48,2.5
687086.82,2.91,3.0,31,1.3,3.5
750960.88,2.64,1.5,25,1.37,2.0
1990405.08,4.45,1.5,25,1.17,2.0
1008975.29,3.48,2.5,32,1.34,3.0
808857.15,2.38,2.5,20,1.41,3.0
868633.11,3.6,2.5,27,1.33,3.0
1253832.73,2.99,2.0,21,1.36,2.5
940610.39,2.84,2.5,24,1.4,3.0
1278014.44,2.9,2.0,23,1.33,2.5
956140.04,3.15,2.0,30,1.31,2.5
576411.35,2.65,1.5,20,1.17,2.0
1239588.76,2.63,2.0,27,1.18,2.5
1159759.29,2.87,2.0,25,1.12,2.5
1364831.87,4.29,2.0,26,1.31,2.5
622166.8,4.19,3.0,23,1.39,3.5
1031234.59,3.68,2.5,19,1.27,3.0
740276.9,2.97,1.5,25,1.21,2.0
1035497.33,3.08,1.5,22,1.25,2.0
516124.8,2.78,1.5,30,1.21,2.0
1709109.17,4.0,2.0,28,1.23,2.5
1449230.37,4.19,2.0,26,1.3,2.5
1361355.81,2.99,2.0,28,1.31,2.5
594468.64,2.19,2.0,22,1.33,2.5
741311.59,2.87,1.5,22,1.35,2.0
1818988.96,4.39,1.5,29,1.41,2.0
540413.01,3.22,3.0,18,1.11,3.5
1115553.39,2.53,1.5,26,1.12,2.0
450315.04,2.85,3.0,29,1.29,3.5
1014571.86,4.15,3.0,18,1.29,3.5
445476.25,2.03,1.5,25,1.29,2.0
1539514.74,4.11,1.5,23,1.24,2.0
1610841.66,3.72,1.5,24,1.25,2.0
1295009.17,3.58,2.5,24,1.24,3.0
700803.81,2.11,2.0,22,1.32,2.5
833331.29,2.25,3.0,23,1.14,3.5
1356937.94,4.37,1.5,24,1.3,2.0
912269.02,2.61,1.5,20,1.21,2.0
488605.49,2.49,1.5,18,1.49,2.0
635561.72,4.03,1.5,20,1.49,2.0
714066.31,4.31,2.0,20,1.49,2.5
1277108.0,3.51,1.5,29,1.28,2.0
377028.01,2.44,2.5,28,1.25,3.0
1352047.63,2.88,1.5,26,1.14,2.0
1081248.89,3.53,3.0,18,1.4,3.5
571058.73,2.03,2.0,24,1.41,2.5
884559.32,2.37,3.0,22,1.11,3.5
2010277.18,4.31,1.5,31,1.26,2.0
502046.45,2.11,2.5,25,1.42,3.0
1974322.56,4.19,3.0,20,1.28,3.5
915320.77,3.13,1.5,30,1.11,2.0
1865913.96,4.05,2.5,20,1.5,3.0
1291544.63,3.13,3.0,24,1.1,3.5
758620.8,2.23,2.5,27,1.14,3.0
456455.76,2.51,1.5,32,1.27,2.0
438333.41,2.89,2.0,29,1.3,2.5
1038672.88,3.52,2.0,31,1.43,2.5
1659101.63,4.25,1.5,18,1.45,2.0
1273522.79,4.44,2.5,27,1.24,3.0
2098361.46,4.48,1.5,26,1.26,2.0
1487441.01,3.62,2.0,24,1.43,2.5
1361867.0,4.23,1.5,31,1.25,2.0
1242618.39,3.54,3.0,18,1.43,3.5
1140158.9,2.85,2.0,22,1.42,2.5
2063767.31,4.37,2.0,20,1.21,2.5
1492624.14,4.42,3.0,23,1.46,3.5
972257.57,4.2,2.0,19,1.41,2.5
930373.77,2.87,2.0,21,1.43,2.5
740543.58,3.02,2.5,32,1.47,3.0
754174.88,3.42,3.0,32,1.22,3.5
356542.01,2.11,2.5,20,1.28,3.0
654004.86,3.69,2.0,19,1.18,2.5
648532.48,3.38,1.5,24,1.21,2.0
677610.42,3.0,1.5,29,1.4,2.0
1511279.65,3.41,2.5,31,1.2,3.0
1269504.79,3.63,2.0,28,1.15,2.5
1261698.02,3.02,2.0,31,1.34,2.5
1122578.82,2.95,2.0,28,1.28,2.5
322143.22,2.06,2.0,31,1.32,2.5
701309.01,3.53,3.0,28,1.48,3.5
1402531.7,4.05,1.5,30,1.29,2.0
983496.5,3.39,1.5,32,1.13,2.0
1199655.93,3.81,3.0,22,1.26,3.5
619296.47,3.68,1.5,25,1.17,2.0
836858.27,2.94,1.5,26,1.36,2.0
604786.8,3.36,2.5,23,1.44,3.0
1077042.3,2.74,1.5,28,1.21,2.0
779473.11,2.17,2.0,19,1.1,2.5
1578159.09,3.47,2.0,23,1.39,2.5
1616141.89,4.3,3.0,21,1.47,3.5
719560.99,2.87,2.5,26,1.4,3.0
1777609.4,3.93,2.0,30,1.38,2.5
814474.33,3.1,3.0,31,1.35,3.5
667151.24,2.69,1.5,27,1.23,2.0
438614.06,2.74,2.5,19,1.16,3.0
628799.77,3.79,2.0,29,1.36,2.5
1037128.21,3.77,3.0,20,1.12,3.5
1045112.9,2.86,2.5,18,1.16,3.0
1051830.28,3.12,1.5,22,1.46,2.0
508086.31,3.03,2.5,31,1.25,3.0
1728077.36,3.81,2.0,18,1.15,2.5
541412.96,3.55,1.5,27,1.37,2.0
728343.18,2.15,1.5,19,1.47,2.0
974945.14,4.08,3.0,28,1.19,3.5
442612.86,2.53,3.0,25,1.17,3.5
769441.75,2.13,2.5,22,1.5,3.0
632410.77,3.98,1.5,23,1.23,2.0
1351149.23,3.47,1.5,27,1.21,2.0
1441057.98,3.54,3.0,30,1.24,3.5
429428.68,2.0,2.0,30,1.39,2.5
1364983.22,4.47,2.0,31,1.36,2.5
809774.66,2.24,1.5,18,1.19,2.0
1490280.66,3.63,2.5,24,1.43,3.0
310379.89,2.06,1.5,24,1.38,2.0
690909.49,2.43,2.5,30,1.2,3.0
572042.46,3.29,2.5,23,1.45,3.0
1507998.03,3.69,2.5,30,1.41,3.0
1047022.39,3.29,2.5,18,1.15,3.0
1028155.24,3.91,2.5,21,1.16,3.0
559422.15,2.48,1.5,30,1.27,2.0
753857.63,3.22,2.0,31,1.29,2.5
881356.96,2.53,2.5,28,1.23,3.0
1186050.78,3.59,3.0,30,1.4,3.5
1267032.91,3.71,3.0,22,1.5,3.5
1708068.44,3.79,3.0,31,1.2,3.5
796427.7,3.12,3.0,27,1.49,3.5
964292.02,2.76,2.0,18,1.22,2.5
873491.4,3.46,2.0,20,1.31,2.5
689305.51,3.75,3.0,20,1.37,3.5
1138580.95,2.85,2.5,18,1.43,3.0
778969.22,2.11,1.5,24,1.24,2.0
1323567.44,4.07,2.5,27,1.38,3.0
1906873.99,4.21,2.0,19,1.23,2.5
1056723.07,4.17,2.0,21,1.13,2.5
1632923.25,4.4,2.0,32,1.49,2.5
557705.64,2.23,3.0,25,1.11,3.5
1591542.48,3.51,3.0,29,1.43,3.5
1227096.84,4.33,2.0,31,1.41,2.5
1550192.63,4.41,2.0,31,1.35,2.5
929838.12,2.48,1.5,18,1.3,2.0
1720087.35,4.31,1.5,25,1.38,2.0
1382236.68,3.02,2.0,24,1.29,2.5
1891218.58,4.19,2.5,29,1.41,3.0
613420.43,3.21,2.0,29,1.19,2.5
862940.56,3.73,3.0,21,1.4,3.5
840327.21,2.23,1.5,23,1.18,2.0
796565.83,2.66,1.5,24,1.18,2.0
750051.97,2.12,2.5,26,1.33,3.0
1014418.18,2.94,1.5,27,1.18,2.0
599704.97,2.01,1.5,27,1.18,2.0
1190741.7,3.12,3.0,28,1.46,3.5
1294682.75,3.11,2.0,22,1.18,2.5
1458523.98,3.65,3.0,28,1.43,3.5
1243661.08,3.81,1.5,25,1.1,2.0
901227.08,2.95,2.0,21,1.42,2.5
1530489.75,3.42,2.5,29,1.26,3.0
1422602.06,4.04,2.5,26,1.16,3.0
483879.92,2.47,2.5,24,1.49,3.0
725604.68,3.05,2.0,32,1.16,2.5
1254186.09,3.18,2.0,26,1.4,2.5
1024796.48,3.43,2.5,32,1.3,3.0
361857.37,2.14,3.0,23,1.21,3.5
1353473.81,4.14,2.0,25,1.19,2.5
700058.51,2.07,1.5,21,1.13,2.0
457062.73,3.12,3.0,19,1.35,3.5
747065.46,3.66,3.0,31,1.44,3.5
1117545.49,3.29,1.5,20,1.28,2.0
1055546.27,4.38,2.0,22,1.21,2.5
1363698.66,3.83,3.0,26,1.39,3.5
634098.85,2.78,2.5,27,1.49,3.0
1603583.36,3.39,2.5,31,1.35,3.0
429210.81,2.3,2.0,18,1.11,2.5
1732838.05,4.44,2.5,21,1.27,3.0
1167841.34,4.26,2.5,30,1.37,3.0
1712215.06,3.98,1.5,20,1.47,2.0
483504.35,2.56,2.5,22,1.49,3.0
1993409.38,4.21,3.0,22,1.42,3.5
734517.15,4.02,2.5,19,1.21,3.0
1731673.03,4.03,2.5,20,1.2,3.0
771790.43,3.31,3.0,29,1.22,3.5
672334.81,2.54,1.5,29,1.27,2.0
1180704.57,2.93,1.5,27,1.45,2.0
1145551.42,3.81,2.0,32,1.24,2.5
1175509.93,2.6,2.5,27,1.22,3.0
672370.21,4.46,2.0,32,1.48,2.5
948030.57,3.72,2.0,23,1.22,2.5
1363871.88,4.01,3.0,31,1.19,3.5
808181.61,2.53,3.0,22,1.45,3.5
1274701.89,2.73,2.5,20,1.23,3.0
1452154.29,3.56,1.5,30,1.33,2.0
1494469.78,3.95,1.5,21,1.45,2.0
1873004.14,4.22,2.0,20,1.48,2.5
586011.21,2.25,1.5,20,1.31,2.0
790087.48,3.03,1.5,25,1.2,2.0
768552.45,2.22,2.0,23,1.33,2.5
644011.26,4.11,2.5,18,1.46,3.0
449704.6,2.56,3.0,26,1.32,3.5
1211492.81,3.51,1.5,18,1.45,2.0
1724150.86,3.64,2.5,23,1.18,3.0
1169569.16,4.41,2.5,21,1.25,3.0
337628.07,2.23,2.0,18,1.13,2.5
692436.92,2.43,1.5,18,1.33,2.0
1786258.15,4.4,2.5,24,1.25,3.0
1605365.33,3.45,1.5,25,1.42,2.0
2027762.48,4.39,2.0,30,1.42,2.5
597330.43,3.54,2.5,24,1.18,3.0
989267.93,3.69,3.0,20,1.2,3.5
785018.88,3.19,3.0,23,1.1,3.5
737335.23,3.27,1.5,32,1.42,2.0
1406143.18,3.23,1.5,23,1.49,2.0
1735862.01,4.47,1.5,32,1.17,2.0
676057.07,2.34,2.5,31,1.44,3.0
1467039.64,4.16,2.0,31,1.16,2.5
1508424.87,3.33,1.5,28,1.14,2.0
505361.09,2.17,1.5,29,1.29,2.0
1378153.03,3.72,2.0,25,1.1,2.5
371644.87,2.2,1.5,25,1.49,2.0
1065374.68,3.0,3.0,19,1.29,3.5
436440.66,2.26,2.0,25,1.22,2.5
1880003.81,4.4,2.0,29,1.45,2.5
1047353.42,2.23,2.5,20,1.29,3.0
1724569.95,3.99,1.5,26,1.38,2.0
1469989.53,3.19,1.5,18,1.13,2.0
429829.1,2.08,2.5,19,1.27,3.0
1277028.76,3.27,2.5,24,1.42,3.0
975746.3,2.63,1.5,18,1.25,2.0
1548807.42,3.94,3.0,23,1.31,3.5
1421240.42,3.52,1.5,30,1.1,2.0
1077268.86,4.11,2.5,30,1.31,3.0
1484724.69,3.29,1.5,19,1.28,2.0
1237633.13,3.2,1.5,28,1.44,2.0
943836.42,3.83,2.5,19,1.38,3.0
1476277.22,3.9,2.0,29,1.27,2.5
1685039.53,3.95,1.5,25,1.42,2.0
1389145.8,3.25,3.0,22,1.32,3.5
994299.1,2.47,1.5,22,1.14,2.0
364324.98,2.5,3.0,18,1.19,3.5
1274015.42,3.01,2.5,23,1.22,3.0
587086.16,3.27,1.5,18,1.15,2.0
1359116.74,3.04,3.0,28,1.15,3.5
548405.22,2.67,2.5,20,1.5,3.0
904867.37,2.02,2.0,27,1.42,2.5
723805.77,2.57,3.0,18,1.41,3.5
1003058.57,3.1,3.0,20,1.46,3.5
959473.07,3.22,2.5,24,1.22,3.0
1127880.9,2.73,1.5,19,1.3,2.0
1237351.41,3.63,2.5,21,1.25,3.0
1745078.2,4.06,3.0,30,1.41,3.5
1349533.49,3.07,2.5,31,1.34,3.0
749051.94,2.88,2.0,28,1.3,2.5
647897.94,4.38,3.0,32,1.35,3.5
722362.73,2.79,3.0,18,1.15,3.5
542635.32,3.37,2.0,27,1.37,2.5
1430220.44,4.14,3.0,22,1.39,3.5
1849152.51,3.94,1.5,19,1.23,2.0
831002.93,4.46,1.5,21,1.35,2.0
1394987.51,4.01,2.0,20,1.21,2.5
878359.23,3.16,1.5,19,1.12,2.0
1305905.58,3.52,1.5,24,1.41,2.0
676510.68,3.94,2.5,29,1.12,3.0
591863.65,3.81,2.5,32,1.5,3.0
1310240.22,3.07,2.5,29,1.19,3.0
1052466.29,2.94,2.5,29,1.44,3.0
877460.74,2.38,3.0,27,1.48,3.5
885862.66,2.23,1.5,23,1.27,2.0
1737683.79,3.91,3.0,18,1.32,3.5
660112.33,3.34,2.5,21,1.22,3.0
985503.72,2.97,1.5,30,1.37,2.0
704668.06,3.67,1.5,29,1.35,2.0
1090463.28,2.77,1.5,27,1.2,2.0
597936.03,4.15,3.0,31,1.4,3.5
616967.97,3.48,2.0,19,1.17,2.5
868283.79,2.61,2.5,31,1.44,3.0
576607.21,3.15,3.0,24,1.41,3.5
786856.83,4.15,1.5,22,1.36,2.0
1178133.59,2.61,1.5,23,1.13,2.0
1385427.69,3.84,2.5,27,1.4,3.0
1333898.53,3.31,2.0,21,1.29,2.5
1071355.77,2.44,1.5,27,1.19,2.0
1336606.04,3.48,2.0,21,1.26,2.5
406034.02,2.07,3.0,23,1.28,3.5
1463234.42,3.61,3.0,20,1.34,3.5
1211418.67,3.98,2.5,21,1.16,3.0
946628.81,2.1,1.5,28,1.34,2.0
1863982.82,4.07,2.5,29,1.42,3.0
1163036.83,2.75,1.5,32,1.14,2.0
1347741.64,4.45,2.0,21,1.45,2.5
1030710.63,3.24,2.5,26,1.22,3.0
637279.49,3.17,2.0,22,1.42,2.5
510775.02,2.17,1.5,22,1.48,2.0
854383.57,3.53,3.0,25,1.34,3.5
806301.76,3.18,3.0,18,1.25,3.5
472778.27,3.09,1.5,19,1.48,2.0
1624755.89,3.66,2.5,27,1.35,3.0
1321000.82,3.82,1.5,27,1.34,2.0
658309.82,3.37,2.5,20,1.28,3.0
1958735.68,4.39,2.5,22,1.48,3.0
452682.82,3.13,2.5,18,1.34,3.0
793095.28,2.19,3.0,26,1.26,3.5
930920.17,4.04,1.5,26,1.35,2.0
1164470.19,3.86,2.0,18,1.37,2.5
903328.29,4.21,2.0,22,1.33,2.5
827753.17,2.01,2.0,18,1.11,2.5
1013271.58,2.65,2.5,32,1.34,3.0
1105598.84,3.23,2.0,31,1.13,2.5
1065607.47,2.8,1.5,28,1.38,2.0
1270463.27,3.66,1.5,20,1.43,2.0
1123155.33,3.39,1.5,30,1.12,2.0
1788248.6,4.3,2.5,31,1.45,3.0
927232.77,3.69,2.0,27,1.38,2.5
618622.2,2.57,1.5,27,1.29,2.0
1493265.53,4.24,2.5,23,1.39,3.0
1469692.08,3.42,2.0,22,1.35,2.5
1381229.15,4.44,2.0,24,1.15,2.5
1089913.05,3.58,1.5,25,1.28,2.0
1764386.79,4.41,2.0,32,1.26,2.5
1501559.72,3.17,3.0,32,1.46,3.5
842599.81,2.34,2.5,30,1.23,3.0
867899.66,2.2,3.0,24,1.46,3.5
833272.59,2.44,2.0,20,1.48,2.5
482221.57,2.89,3.0,29,1.42,3.5
896936.93,2.33,2.0,20,1.17,2.5
808800.7,3.46,2.0,23,1.44,2.5
1044423.42,2.28,1.5,32,1.3,2.0
1140040.32,3.36,1.5,29,1.27,2.0
487285.6,2.8,1.5,21,1.39,2.0
829832.85,4.4,2.0,21,1.5,2.5
739959.34,2.86,1.5,29,1.35,2.0
721026.09,3.68,2.5,19,1.47,3.0
874035.77,3.19,2.0,28,1.35,2.5
633962.4,2.93,2.0,32,1.14,2.5
1378961.41,4.27,2.0,21,1.14,2.5
1404740.65,3.23,2.0,20,1.25,2.5
1891336.96,4.46,1.5,19,1.46,2.0
1062116.29,2.48,3.0,23,1.23,3.5
980509.82,3.51,1.5,22,1.19,2.0
567660.9,3.43,2.0,18,1.4,2.5
1279327.67,3.76,3.0,24,1.19,3.5
1861497.02,4.45,2.5,18,1.29,3.0
610300.59,2.25,1.5,32,1.4,2.0
478087.96,2.11,2.5,30,1.37,3.0
1342898.95,3.37,2.5,26,1.18,3.0
1368850.17,4.49,1.5,31,1.38,2.0
691939.78,2.85,1.5,29,1.28,2.0
763621.66,2.62,1.5,32,1.4,2.0
1130396.24,4.17,1.5,18,1.19,2.0
647135.07,2.28,3.0,22,1.46,3.5
856837.81,3.21,2.0,23,1.4,2.5
805741.94,3.03,2.5,27,1.22,3.0
545926.03,2.75,2.0,22,1.5,2.5
552003.0,3.76,1.5,21,1.27,2.0
945651.27,2.78,2.5,29,1.12,3.0
1105216.45,3.48,3.0,30,1.43,3.5
1006218.3,4.48,1.5,27,1.31,2.0
446873.71,2.15,3.0,20,1.36,3.5
1421032.26,3.96,2.0,29,1.19,2.5
1014966.17,2.35,2.5,29,1.38,3.0
413218.22,2.76,2.5,26,1.43,3.0
1241730.55,3.72,3.0,26,1.47,3.5
1284587.16,4.48,3.0,20,1.32,3.5
886301.17,2.01,2.5,19,1.22,3.0
1155562.73,3.6,2.0,18,1.2,2.5
699162.59,2.39,2.0,29,1.18,2.5
1924113.93,4.17,2.5,18,1.16,3.0
518724.71,2.24,2.0,19,1.17,2.5
1116829.46,2.51,1.5,30,1.26,2.0
938621.24,3.93,3.0,25,1.31,3.5
559994.29,3.23,1.5,21,1.48,2.0
873766.79,4.35,3.0,20,1.49,3.5
1508986.38,4.27,1.5,18,1.33,2.0
577076.36,2.34,2.0,20,1.36,2.5
539891.87,2.2,2.5,32,1.33,3.0
467789.54,2.0,3.0,23,1.48,3.5
849047.17,3.12,2.0,19,1.38,2.5
1257910.22,3.29,2.0,21,1.43,2.5
1143311.21,4.33,3.0,20,1.41,3.5
455918.34,2.04,3.0,29,1.16,3.5
1197885.26,2.71,3.0,28,1.31,3.5
402582.44,2.15,2.0,22,1.2,2.5
1762727.49,4.09,1.5,21,1.31,2.0
752006.44,3.1,1.5,28,1.16,2.0
1521911.69,4.22,1.5,22,1.35,2.0
519379.09,2.52,2.0,32,1.24,2.5
617225.9,2.9,1.5,29,1.36,2.0
723801.64,3.99,1.5,31,1.4,2.0
614290.92,3.71,1.5,25,1.12,2.0
1098272.6,2.74,3.0,26,1.19,3.5
476494.28,2.75,1.5,29,1.3,2.0
712079.22,2.38,2.0,30,1.11,2.5
1518055.97,4.04,2.5,25,1.47,3.0
1508104.43,3.39,1.5,22,1.36,2.0
563452.28,3.58,2.0,28,1.44,2.5
936313.43,4.05,1.5,31,1.43,2.0
1506481.12,3.29,3.0,30,1.29,3.5
562026.3,2.94,2.0,20,1.42,2.5
635307.83,2.02,1.5,24,1.19,2.0
562822.4,2.23,2.5,29,1.13,3.0
721147.49,2.43,2.0,18,1.15,2.5
623506.63,2.73,3.0,25,1.14,3.5
1091266.62,2.87,2.5,22,1.14,3.0
1534247.94,3.74,2.5,22,1.37,3.0
521298.43,2.64,2.5,19,1.39,3.0
534542.51,3.13,1.5,18,1.48,2.0
1240971.79,3.88,2.5,18,1.22,3.0
1504408.65,4.48,3.0,29,1.44,3.5
1142051.72,3.05,3.0,31,1.36,3.5
1120198.11,4.04,3.0,32,1.17,3.5
782232.0,2.36,2.5,22,1.38,3.0
970013.46,4.4,3.0,29,1.34,3.5
613728.01,2.12,3.0,29,1.22,3.5
891180.75,3.02,3.0,30,1.4,3.5
844455.87,4.34,2.5,24,1.15,3.0
971840.02,2.31,3.0,24,1.38,3.5
1107529.64,2.93,3.0,21,1.45,3.5
1009440.09,2.95,3.0,26,1.41,3.5
1396860.55,4.35,1.5,20,1.16,2.0
497570.4,2.19,2.0,23,1.17,2.5
1600347.08,4.14,2.5,27,1.11,3.0
1136611.77,2.75,2.5,29,1.42,3.0
1435857.85,3.53,3.0,31,1.44,3.5
660721.12,3.86,2.5,21,1.34,3.0
1211410.35,3.28,3.0,24,1.43,3.5
350715.51,2.24,2.0,22,1.18,2.5
1598674.35,3.55,3.0,25,1.1,3.5
807039.22,2.1,1.5,27,1.32,2.0
391453.52,2.12,2.0,24,1.3,2.5
1557736.78,4.25,3.0,18,1.49,3.5
681299.64,4.41,1.5,29,1.38,2.0
822734.22,2.91,2.5,32,1.1,3.0
623744.77,3.22,2.5,21,1.3,3.0
542299.8,3.65,1.5,18,1.41,2.0
1025251.23,4.41,1.5,27,1.17,2.0
808013.39,4.18,2.5,24,1.11,3.0
1072288.88,2.31,2.5,28,1.44,3.0
1388395.11,3.18,1.5,32,1.34,2.0
605839.46,3.93,3.0,23,1.5,3.5
1459182.69,3.17,1.5,29,1.41,2.0
1082936.42,3.91,2.0,30,1.27,2.5
661658.22,2.92,2.0,32,1.12,2.5
669288.53,3.01,1.5,32,1.46,2.0
1308705.81,3.27,3.0,32,1.42,3.5
602992.93,3.51,2.5,27,1.11,3.0
1079101.38,3.38,1.5,23,1.17,2.0
1078000.84,3.85,1.5,22,1.11,2.0
1617396.0,4.41,1.5,29,1.2,2.0
1180362.03,3.48,2.5,32,1.45,3.0
966796.09,4.3,3.0,18,1.22,3.5
1446587.21,3.56,2.5,26,1.3,3.0
983409.1,4.33,1.5,18,1.49,2.0
1707801.18,3.86,3.0,24,1.27,3.5
1237711.1,3.54,2.0,20,1.24,2.5
1350070.49,4.22,1.5,32,1.41,2.0
1038771.51,2.33,2.0,29,1.38,2.5
787464.61,4.49,2.0,32,1.45,2.5
783053.19,2.16,2.5,30,1.17,3.0
934358.1,2.39,1.5,19,1.17,2.0
577068.89,2.3,2.0,19,1.17,2.5
428588.78,2.87,2.0,21,1.32,2.5
740864.69,2.11,1.5,21,1.38,2.0
519970.29,3.32,2.0,27,1.11,2.5
1035624.44,2.51,3.0,32,1.49,3.5
963263.62,3.2,2.0,31,1.23,2.5
1092599.28,4.22,2.0,25,1.48,2.5
445620.1,2.22,3.0,30,1.36,3.5
1369767.24,3.38,1.5,30,1.31,2.0
728028.39,3.21,2.0,20,1.1,2.5
1482404.7,3.74,3.0,29,1.41,3.5
365664.35,2.0,1.5,25,1.48,2.0
970311.72,3.98,3.0,25,1.39,3.5
1817395.33,4.34,3.0,29,1.16,3.5
634250.11,4.12,2.5,23,1.1,3.0
703287.95,2.13,2.0,30,1.41,2.5
667172.85,3.79,2.5,25,1.4,3.0
524009.74,2.89,2.5,24,1.3,3.0
1127567.38,2.68,2.5,27,1.27,3.0
440073.55,2.87,2.5,30,1.26,3.0
745438.11,3.52,1.5,30,1.37,2.0
575586.99,3.28,2.0,21,1.16,2.5
1664219.3,3.96,3.0,32,1.2,3.5
1414692.41,3.8,3.0,19,1.36,3.5
1096933.94,3.09,2.5,27,1.12,3.0
871597.85,3.38,1.5,27,1.49,2.0
385558.73,2.23,1.5,30,1.27,2.0
1182126.93,4.36,3.0,26,1.35,3.5
1990236.96,4.19,1.5,19,1.32,2.0
659023.69,2.18,3.0,28,1.21,3.5
1024673.97,2.69,1.5,31,1.4,2.0
493870.75,2.7,1.5,19,1.15,2.0
1012647.19,2.14,1.5,29,1.24,2.0
1728706.4,4.38,3.0,19,1.27,3.5
1184484.17,2.55,1.5,23,1.46,2.0
1093843.21,3.35,3.0,25,1.21,3.5
1047024.24,3.43,3.0,27,1.47,3.5
1770871.79,4.29,1.5,19,1.23,2.0
608757.7,3.59,2.0,32,1.47,2.5
707703.59,2.59,2.5,31,1.26,3.0
511300.81,3.44,2.0,21,1.15,2.5
1011572.44,3.74,2.5,22,1.28,3.0
863895.12,3.27,3.0,21,1.34,3.5
1062438.05,3.1,2.5,27,1.12,3.0
414838.86,2.31,3.0,19,1.23,3.5
452900.86,2.34,3.0,31,1.19,3.5
1201250.98,3.77,2.0,28,1.42,2.5
586623.19,2.09,3.0,29,1.27,3.5
1157732.96,3.47,3.0,24,1.23,3.5
1735096.82,3.8,2.0,26,1.28,2.5
1639676.87,4.2,2.0,26,1.13,2.5
721651.06,2.51,1.5,31,1.17,2.0
989139.98,2.44,1.5,27,1.16,2.0
488737.87,3.27,2.5,25,1.41,3.0
950934.75,2.98,2.0,28,1.46,2.5
442888.53,2.38,2.0,20,1.42,2.5
580405.85,2.0,2.0,22,1.42,2.5
1406203.8,4.32,3.0,29,1.39,3.5
872293.23,4.05,1.5,28,1.45,2.0
340829.45,2.35,2.0,28,1.12,2.5
691398.78,3.75,3.0,18,1.34,3.5
1285891.21,3.29,1.5,25,1.28,2.0
743048.3,2.94,3.0,19,1.43,3.5
1512764.0,3.56,2.5,26,1.34,3.0
599591.09,2.15,3.0,22,1.2,3.5
681261.26,4.02,2.5,27,1.23,3.0
885683.77,3.59,2.5,21,1.46,3.0
537426.57,2.82,3.0,27,1.37,3.5
955283.73,2.18,2.5,27,1.49,3.0
674231.8,2.45,2.5,29,1.12,3.0
989840.94,3.7,2.5,26,1.49,3.0
1563133.82,4.06,2.0,24,1.11,2.5
803492.98,2.79,2.5,32,1.28,3.0
440838.15,2.89,1.5,28,1.38,2.0
911425.16,3.3,2.0,26,1.44,2.5
1331513.22,3.76,2.5,19,1.11,3.0
