T1,u,mte_loi,z1,HB1,overload_ratio,suggested_mte
200811.21,3.99,2.5,29,206.1,1.48,3.0
295623.35,4.13,3.0,30,192.5,1.23,3.5
207018.1,3.11,3.0,20,231.0,1.24,3.5
348373.94,2.21,2.5,24,208.3,1.16,3.0
445476.94,2.06,1.5,19,229.7,1.49,2.0
323822.35,3.47,1.5,25,208.0,1.15,2.0
365764.61,3.63,1.5,23,222.7,1.4,2.0
369383.93,2.46,3.0,28,190.5,1.25,3.5
358907.74,4.23,2.5,26,233.9,1.11,3.0
165564.05,3.18,3.0,22,229.9,1.45,3.5
443479.94,4.49,3.0,29,191.3,1.19,3.5
365484.03,2.57,1.5,20,199.3,1.37,2.0
205429.3,3.8,2.0,18,231.8,1.43,2.5
186323.32,3.26,1.5,29,234.6,1.25,2.0
206935.27,2.64,2.5,28,220.8,1.46,3.0
351448.22,3.92,1.5,28,193.0,1.24,2.0
268011.33,4.41,3.0,18,194.0,1.33,3.5
347172.99,2.59,2.0,18,228.3,1.44,2.5
398472.32,3.89,2.0,22,235.0,1.25,2.5
341944.27,3.71,1.5,21,218.4,1.36,2.0
456740.94,2.6,3.0,18,198.8,1.49,3.5
384899.78,2.22,2.5,26,239.1,1.41,3.0
345299.73,2.13,2.0,27,190.3,1.33,2.5
244383.84,2.59,1.5,24,236.1,1.21,2.0
394931.1,3.87,3.0,24,238.9,1.37,3.5
401024.53,3.26,3.0,18,226.6,1.19,3.5
211292.06,4.44,2.0,18,235.5,1.15,2.5
415755.46,4.3,2.0,20,207.7,1.33,2.5
255544.19,2.5,2.0,23,235.7,1.37,2.5
255751.84,2.0,2.0,19,211.7,1.32,2.5
341559.67,4.28,2.0,20,220.1,1.19,2.5
390874.22,2.94,2.5,24,215.8,1.17,3.0
384976.16,2.11,3.0,26,233.6,1.23,3.5
283849.55,3.82,2.5,29,218.5,1.36,3.0
176725.67,3.99,2.0,27,234.3,1.4,2.5
253019.22,4.07,2.0,22,236.8,1.4,2.5
249051.65,4.37,2.5,26,210.2,1.24,3.0
319890.72,2.63,2.5,29,201.1,1.27,3.0
251964.83,2.01,2.0,22,228.4,1.47,2.5
469922.52,4.26,2.0,20,219.4,1.19,2.5
170050.87,3.41,3.0,21,224.0,1.23,3.5
300430.47,2.07,3.0,23,227.8,1.33,3.5
267893.76,4.12,1.5,20,208.5,1.33,2.0
357418.74,3.72,1.5,20,215.7,1.32,2.0
408898.33,2.1,3.0,24,228.1,1.42,3.5
298586.29,3.77,2.5,18,201.1,1.4,3.0
460588.26,3.63,1.5,28,207.5,1.39,2.0
187686.57,2.92,3.0,20,230.9,1.24,3.5
425180.12,3.2,2.0,23,236.5,1.46,2.5
362136.11,2.03,2.0,28,227.8,1.23,2.5
486119.6,4.0,1.5,30,213.0,1.1,2.0
406301.38,2.39,2.0,27,209.3,1.18,2.5
226459.72,2.7,1.5,30,208.9,1.49,2.0
369326.56,3.81,2.5,22,197.2,1.38,3.0
200732.82,4.28,2.5,23,216.3,1.31,3.0
333419.44,4.25,1.5,27,233.7,1.26,2.0
414670.76,3.3,1.5,24,201.9,1.42,2.0
305290.28,2.1,2.0,23,213.2,1.38,2.5
196533.11,3.69,2.0,20,211.1,1.19,2.5
253679.18,4.29,2.5,26,206.2,1.24,3.0
319568.77,4.1,1.5,29,229.4,1.1,2.0
248844.5,4.28,2.0,23,237.9,1.2,2.5
222823.24,4.46,2.0,28,204.9,1.34,2.5
214544.76,2.76,2.5,29,218.6,1.39,3.0
382671.76,4.03,3.0,18,192.2,1.44,3.5
398677.8,4.38,2.0,20,238.0,1.49,2.5
222496.41,2.09,1.5,27,230.2,1.19,2.0
156162.57,2.16,2.5,24,219.9,1.31,3.0
198752.99,3.51,1.5,28,226.4,1.22,2.0
283154.66,3.43,2.0,23,200.0,1.4,2.5
268860.66,3.59,1.5,26,226.7,1.33,2.0
471233.83,3.77,2.5,24,197.7,1.25,3.0
454684.57,3.47,2.0,21,232.8,1.11,2.5
408936.08,4.14,2.5,26,207.7,1.49,3.0
355907.69,3.07,2.5,27,222.6,1.24,3.0
302710.67,3.19,3.0,30,235.7,1.41,3.5
453400.01,3.22,2.5,19,211.7,1.49,3.0
497288.56,3.76,2.5,23,235.0,1.1,3.0
236658.67,3.13,3.0,18,236.5,1.45,3.5
400171.06,3.05,2.0,27,237.3,1.35,2.5
244969.71,4.01,3.0,30,216.9,1.26,3.5
354823.91,3.02,1.5,27,233.4,1.15,2.0
248947.13,4.11,3.0,28,192.6,1.28,3.5
432811.29,3.57,2.0,28,235.3,1.36,2.5
204397.97,2.21,2.0,26,194.8,1.18,2.5
393143.89,3.69,2.0,25,218.6,1.17,2.5
242560.82,3.08,2.5,28,211.7,1.26,3.0
189700.93,3.12,1.5,29,224.6,1.37,2.0
184716.65,2.1,2.5,18,232.2,1.48,3.0
450098.42,3.98,1.5,24,220.3,1.35,2.0
196799.71,2.84,2.5,27,237.5,1.22,3.0
312542.48,3.59,1.5,23,191.7,1.23,2.0
253067.61,2.16,1.5,18,210.3,1.34,2.0
444687.97,3.18,2.5,21,234.5,1.42,3.0
172443.48,3.1,3.0,21,200.9,1.4,3.5
386065.66,3.89,3.0,23,218.1,1.15,3.5
161423.53,3.83,1.5,30,199.4,1.25,2.0
213745.6,3.26,3.0,20,232.9,1.13,3.5
351355.22,2.13,2.5,30,209.0,1.22,3.0
364266.28,4.3,1.5,18,200.6,1.23,2.0
174837.98,3.81,2.5,30,191.6,1.28,3.0
235743.38,2.34,2.5,22,218.3,1.13,3.0
353357.45,3.91,3.0,21,205.6,1.44,3.5
499962.24,3.72,3.0,18,219.8,1.42,3.5
229779.6,3.47,2.5,19,202.9,1.2,3.0
281744.11,4.32,1.5,28,200.0,1.44,2.0
468789.25,2.98,3.0,28,213.2,1.15,3.5
272108.35,4.45,3.0,25,227.6,1.43,3.5
346206.28,3.92,2.0,19,214.7,1.24,2.5
228842.35,3.0,2.0,27,222.6,1.3,2.5
350791.21,3.91,2.5,20,194.2,1.21,3.0
180470.0,3.26,2.5,28,201.2,1.17,3.0
351975.33,2.67,2.0,23,223.1,1.3,2.5
257615.9,3.59,3.0,20,215.6,1.36,3.5
284261.78,3.11,3.0,22,231.3,1.43,3.5
303361.92,2.71,3.0,28,223.5,1.34,3.5
496956.48,3.88,1.5,22,217.4,1.13,2.0
418372.92,2.1,2.5,20,237.9,1.38,3.0
213401.46,3.33,1.5,27,198.0,1.3,2.0
421941.12,2.56,2.5,20,224.3,1.36,3.0
226292.16,3.92,2.5,27,237.1,1.11,3.0
239905.93,2.78,1.5,20,226.3,1.37,2.0
328175.03,4.44,2.0,18,215.3,1.22,2.5
295678.99,4.2,1.5,27,216.5,1.26,2.0
244325.59,3.42,2.5,20,235.5,1.15,3.0
439260.35,4.04,2.0,20,222.0,1.18,2.5
484786.67,2.54,2.5,21,233.7,1.24,3.0
410911.81,2.83,2.0,28,203.8,1.18,2.5
365232.38,4.41,2.5,18,238.9,1.41,3.0
156643.72,2.58,3.0,19,228.6,1.16,3.5
479652.86,3.18,1.5,25,227.5,1.44,2.0
428690.75,3.96,1.5,22,240.0,1.31,2.0
183840.62,2.23,1.5,18,195.2,1.47,2.0
279367.23,3.56,2.5,21,217.9,1.33,3.0
226235.61,3.9,2.5,19,193.3,1.15,3.0
182731.51,2.71,2.5,20,222.4,1.1,3.0
274939.19,4.48,1.5,24,212.8,1.37,2.0
359425.09,3.83,2.0,29,196.2,1.35,2.5
191413.98,4.22,2.0,29,192.7,1.3,2.5
153215.22,2.7,2.0,21,224.9,1.29,2.5
376331.49,3.93,3.0,18,190.6,1.45,3.5
446767.97,4.47,1.5,26,216.7,1.16,2.0
155383.25,2.03,1.5,22,214.1,1.47,2.0
221235.15,3.31,2.0,20,225.0,1.14,2.5
165116.92,2.45,2.0,29,235.6,1.26,2.5
271086.78,2.89,3.0,24,213.7,1.22,3.5
444949.57,3.34,3.0,23,193.7,1.28,3.5
161813.96,2.32,2.0,21,208.7,1.16,2.5
367349.58,3.88,2.0,30,201.1,1.45,2.5
260922.75,3.25,2.0,27,190.2,1.2,2.5
262107.3,3.02,2.5,28,235.2,1.33,3.0
273807.26,3.01,1.5,18,195.2,1.24,2.0
260577.09,2.43,3.0,30,198.4,1.34,3.5
295342.15,3.35,2.5,24,229.0,1.28,3.0
427363.86,2.93,1.5,26,219.2,1.21,2.0
420747.22,3.69,2.0,21,193.1,1.45,2.5
180496.68,2.87,1.5,19,236.0,1.3,2.0
488583.95,3.33,2.0,23,218.1,1.49,2.5
248016.56,2.33,2.0,21,225.9,1.31,2.5
237987.4,4.49,2.0,28,194.6,1.38,2.5
329287.44,2.8,2.0,27,228.4,1.48,2.5
165931.25,2.02,2.5,22,217.9,1.29,3.0
495353.12,2.75,2.5,23,216.9,1.17,3.0
478926.32,3.56,1.5,22,226.7,1.2,2.0
482958.13,2.57,2.5,23,220.9,1.31,3.0
485736.32,2.16,2.0,21,210.8,1.23,2.5
381273.61,2.7,3.0,29,233.5,1.32,3.5
434455.21,4.39,1.5,25,211.7,1.33,2.0
273078.05,2.43,2.0,27,196.9,1.31,2.5
154137.07,2.32,1.5,18,196.8,1.27,2.0
293764.86,2.8,2.0,30,209.5,1.27,2.5
182399.87,2.41,2.5,18,211.0,1.35,3.0
282757.05,3.98,2.5,19,206.9,1.47,3.0
358038.94,4.23,1.5,27,206.9,1.12,2.0
312318.32,3.62,3.0,28,233.7,1.47,3.5
455164.51,4.01,1.5,18,238.4,1.48,2.0
214390.43,3.81,2.0,23,205.1,1.46,2.5
298452.43,3.19,2.5,27,209.7,1.33,3.0
263858.0,3.1,2.0,24,205.7,1.34,2.5
230268.5,2.81,2.5,30,215.0,1.22,3.0
313460.54,2.22,2.0,25,212.6,1.47,2.5
161704.41,2.34,2.5,19,217.0,1.22,3.0
180976.26,3.97,2.0,29,199.1,1.12,2.5
160836.72,2.45,2.5,18,198.7,1.21,3.0
437106.56,2.69,1.5,24,199.4,1.13,2.0
252434.47,3.07,1.5,28,228.3,1.35,2.0
452976.87,4.12,2.5,23,238.4,1.19,3.0
281537.61,3.97,2.5,27,217.8,1.38,3.0
494040.82,2.25,2.5,20,192.5,1.19,3.0
363767.23,3.61,3.0,24,223.9,1.35,3.5
244017.02,2.15,3.0,30,223.4,1.13,3.5
384888.44,3.82,2.0,18,230.9,1.4,2.5
256969.75,4.08,2.5,22,238.0,1.48,3.0
409014.52,4.06,1.5,24,229.8,1.48,2.0
436484.45,4.06,3.0,20,207.5,1.27,3.5
356843.3,2.74,2.5,29,230.6,1.21,3.0
155017.25,2.49,1.5,27,198.8,1.26,2.0
374622.95,2.21,2.0,19,219.1,1.24,2.5
469475.77,2.26,2.0,24,190.4,1.36,2.5
230023.09,2.93,1.5,18,202.3,1.25,2.0
433509.49,4.14,3.0,21,190.1,1.43,3.5
306243.89,2.14,1.5,18,212.9,1.46,2.0
225835.21,3.91,1.5,27,230.1,1.23,2.0
266356.69,2.5,2.0,29,194.1,1.34,2.5
272487.65,2.22,3.0,25,237.7,1.43,3.5
477616.03,2.27,1.5,27,208.3,1.12,2.0
348964.71,3.72,2.5,23,236.5,1.32,3.0
223008.54,4.23,2.0,19,191.8,1.15,2.5
181871.33,4.03,1.5,29,224.2,1.36,2.0
273593.93,3.71,3.0,26,210.1,1.44,3.5
307231.8,3.59,1.5,25,197.8,1.33,2.0
425582.06,3.55,2.0,19,209.6,1.35,2.5
358621.37,3.58,3.0,22,217.6,1.23,3.5
260050.48,2.7,2.5,28,194.4,1.35,3.0
422629.98,2.23,2.5,27,239.3,1.32,3.0
446453.9,4.17,2.0,21,218.1,1.33,2.5
161399.8,4.21,2.0,20,211.7,1.17,2.5
247540.88,3.42,2.0,23,233.3,1.29,2.5
368755.71,4.02,2.0,30,236.9,1.43,2.5
283185.98,2.58,1.5,26,225.6,1.16,2.0
473139.29,3.5,2.5,27,233.9,1.45,3.0
296607.32,2.43,2.5,19,212.8,1.15,3.0
406481.35,2.65,1.5,20,217.7,1.39,2.0
201272.36,3.46,1.5,29,201.3,1.11,2.0
225824.09,2.75,2.5,22,219.2,1.32,3.0
283917.32,4.09,3.0,21,196.0,1.24,3.5
197583.92,3.02,2.0,21,236.9,1.14,2.5
155867.15,3.8,2.5,18,229.4,1.49,3.0
321302.74,4.39,3.0,28,203.2,1.4,3.5
302862.53,3.48,2.0,20,220.7,1.43,2.5
310187.75,3.4,2.0,25,228.5,1.33,2.5
472410.03,2.27,3.0,30,214.1,1.1,3.5
171705.93,3.93,2.5,25,237.1,1.17,3.0
291221.3,2.22,2.5,25,196.2,1.45,3.0
430203.83,3.28,1.5,29,218.8,1.32,2.0
254214.66,3.59,1.5,19,201.6,1.36,2.0
454280.12,3.32,3.0,20,197.7,1.49,3.5
170035.81,4.09,1.5,19,228.0,1.49,2.0
242250.0,3.53,1.5,30,210.7,1.38,2.0
440769.93,2.12,2.5,28,201.6,1.18,3.0
367351.24,3.32,3.0,26,228.5,1.16,3.5
322843.53,3.6,1.5,24,225.5,1.35,2.0
229678.27,2.76,3.0,24,203.1,1.1,3.5
400744.44,2.07,3.0,30,228.7,1.43,3.5
156370.3,3.4,2.0,29,234.2,1.13,2.5
376751.28,2.82,2.5,22,210.8,1.34,3.0
158271.01,2.82,2.0,23,202.7,1.25,2.5
281490.55,2.35,3.0,25,222.7,1.16,3.5
460920.31,2.91,2.5,22,225.5,1.33,3.0
331403.33,3.84,1.5,30,211.6,1.32,2.0
447001.91,3.56,2.0,20,213.5,1.11,2.5
276640.38,2.98,3.0,27,192.1,1.45,3.5
444303.39,2.94,3.0,26,222.5,1.23,3.5
245885.67,2.78,2.0,20,215.4,1.23,2.5
346002.37,3.92,1.5,27,216.4,1.24,2.0
221666.37,3.82,2.5,25,214.7,1.21,3.0
244715.91,2.96,2.5,28,205.1,1.32,3.0
340687.19,3.02,3.0,19,221.3,1.44,3.5
371917.93,3.87,2.5,19,209.7,1.1,3.0
406141.54,3.02,2.0,20,229.0,1.3,2.5
175676.29,2.89,1.5,18,206.2,1.37,2.0
203600.92,3.22,3.0,26,225.5,1.17,3.5
460413.93,2.91,2.5,28,213.4,1.45,3.0
192317.44,3.42,2.0,29,199.3,1.45,2.5
371196.47,3.1,3.0,29,238.1,1.37,3.5
320832.27,2.85,2.0,19,194.4,1.4,2.5
363600.13,2.78,2.0,27,206.5,1.22,2.5
290702.53,2.79,3.0,21,212.1,1.24,3.5
413820.6,2.93,2.5,30,235.5,1.24,3.0
198620.88,4.09,3.0,20,231.3,1.42,3.5
410528.12,3.82,1.5,21,195.1,1.2,2.0
239697.03,4.03,3.0,19,210.8,1.25,3.5
288982.17,3.78,2.5,22,230.5,1.16,3.0
224067.52,3.48,2.0,24,215.0,1.29,2.5
297816.02,3.78,2.0,24,197.5,1.15,2.5
349663.37,4.46,3.0,27,230.2,1.41,3.5
468589.32,3.97,3.0,26,205.7,1.4,3.5
169978.96,3.27,2.0,20,208.8,1.43,2.5
185616.54,2.87,1.5,20,210.0,1.13,2.0
343413.9,3.92,3.0,18,224.3,1.13,3.5
378465.29,3.41,2.5,24,208.6,1.41,3.0
282810.41,2.19,3.0,29,191.4,1.16,3.5
429891.5,3.58,2.0,28,192.2,1.2,2.5
306137.61,3.14,2.5,23,197.8,1.37,3.0
366067.43,2.09,2.5,20,198.3,1.32,3.0
258746.83,2.29,3.0,19,208.0,1.37,3.5
362903.29,2.98,2.5,20,224.4,1.37,3.0
214933.97,2.06,1.5,22,220.9,1.29,2.0
293123.55,3.65,2.5,24,231.6,1.19,3.0
440754.07,4.29,3.0,21,222.1,1.42,3.5
449242.34,2.83,1.5,22,206.9,1.21,2.0
310198.0,2.2,2.5,24,224.6,1.24,3.0
416998.84,3.61,1.5,24,191.2,1.35,2.0
426615.04,3.77,2.5,29,215.7,1.45,3.0
330388.6,3.31,3.0,29,224.6,1.17,3.5
274926.16,2.4,2.0,19,194.7,1.33,2.5
158273.5,3.88,2.0,20,199.2,1.31,2.5
320352.54,3.87,1.5,21,225.2,1.47,2.0
305863.93,4.47,3.0,20,231.0,1.15,3.5
400861.57,3.56,3.0,24,202.9,1.33,3.5
419566.31,3.19,1.5,20,208.3,1.48,2.0
407816.25,3.05,2.5,20,239.8,1.31,3.0
169347.95,2.1,1.5,27,239.5,1.48,2.0
387457.15,2.38,3.0,28,206.1,1.46,3.5
443305.99,2.61,2.0,23,226.5,1.15,2.5
327067.54,4.06,2.0,22,221.4,1.19,2.5
197207.02,3.2,2.5,26,223.3,1.3,3.0
245420.25,2.21,2.5,22,202.1,1.41,3.0
495092.56,3.7,1.5,26,220.0,1.37,2.0
388931.15,3.02,1.5,20,238.8,1.46,2.0
402640.99,3.29,2.5,27,238.6,1.27,3.0
485790.1,2.51,2.0,21,194.9,1.49,2.5
371400.79,2.2,3.0,18,231.6,1.21,3.5
356216.84,2.08,1.5,27,236.2,1.22,2.0
426688.18,2.03,2.5,21,219.1,1.13,3.0
472178.09,4.25,2.0,22,214.6,1.19,2.5
303399.6,2.65,1.5,22,199.8,1.49,2.0
354572.35,4.15,1.5,20,205.3,1.29,2.0
215417.71,3.61,2.0,28,205.5,1.23,2.5
178726.12,4.19,2.5,18,204.0,1.31,3.0
189138.04,2.68,3.0,24,228.3,1.23,3.5
339898.34,2.42,3.0,24,195.4,1.16,3.5
265747.32,2.27,2.5,19,231.1,1.4,3.0
334878.24,3.4,2.5,21,225.5,1.13,3.0
464298.94,4.3,2.0,25,220.7,1.15,2.5
245018.69,3.27,1.5,19,196.2,1.33,2.0
219487.32,4.14,1.5,24,230.8,1.33,2.0
435097.03,3.89,2.0,24,194.9,1.25,2.5
263254.51,4.02,1.5,28,201.9,1.22,2.0
438080.01,2.88,2.5,20,199.8,1.37,3.0
360897.46,2.43,3.0,24,226.5,1.36,3.5
428999.51,3.73,2.0,23,205.5,1.25,2.5
413883.5,3.52,3.0,27,231.7,1.41,3.5
308219.65,2.27,2.5,20,208.5,1.26,3.0
389129.13,2.89,2.5,23,216.3,1.48,3.0
169968.0,4.33,2.5,24,229.3,1.11,3.0
382955.56,3.23,2.0,30,205.5,1.14,2.5
425831.58,3.97,2.0,26,239.8,1.32,2.5
361498.15,2.25,2.0,30,203.6,1.35,2.5
203226.26,4.23,3.0,24,237.0,1.29,3.5
167476.66,2.57,1.5,26,194.7,1.14,2.0
482141.51,3.74,1.5,22,215.6,1.3,2.0
392385.06,2.7,1.5,30,234.4,1.26,2.0
387459.61,2.77,2.5,20,220.5,1.48,3.0
369624.71,3.53,1.5,21,193.3,1.27,2.0
262779.09,4.11,2.5,20,192.6,1.21,3.0
269699.4,2.94,1.5,20,231.9,1.17,2.0
465450.25,4.33,2.0,24,224.9,1.17,2.5
274064.97,4.27,1.5,22,227.9,1.21,2.0
455894.85,2.11,1.5,28,231.1,1.14,2.0
156998.84,3.77,1.5,18,205.7,1.37,2.0
272506.76,3.93,2.5,28,197.7,1.42,3.0
299128.94,2.73,1.5,25,222.4,1.37,2.0
302919.84,4.31,2.5,23,215.6,1.44,3.0
449255.86,2.12,2.5,25,196.5,1.33,3.0
361824.04,4.49,1.5,25,231.3,1.26,2.0
468136.1,3.8,1.5,29,221.7,1.4,2.0
351945.57,2.13,2.0,29,227.7,1.41,2.5
384114.46,3.63,2.5,24,205.8,1.27,3.0
288511.55,2.79,2.0,27,230.0,1.49,2.5
154896.81,2.58,2.5,21,191.1,1.48,3.0
156478.88,3.81,2.5,24,209.4,1.22,3.0
445581.96,3.1,2.0,28,213.7,1.4,2.5
468341.34,3.27,1.5,24,226.3,1.28,2.0
412180.21,4.43,2.0,25,200.2,1.33,2.5
429209.85,4.27,3.0,25,231.0,1.29,3.5
481250.05,2.3,2.0,22,238.4,1.5,2.5
209789.26,3.62,2.0,23,196.0,1.35,2.5
442689.37,3.27,3.0,25,224.0,1.12,3.5
413168.95,2.42,3.0,22,193.0,1.22,3.5
456812.49,2.12,2.0,26,190.0,1.44,2.5
273917.66,4.2,1.5,29,233.0,1.1,2.0
172641.22,2.53,3.0,28,208.5,1.32,3.5
459644.53,2.24,2.5,27,213.6,1.24,3.0
267209.81,3.82,1.5,30,234.5,1.2,2.0
417140.85,4.39,2.5,27,231.0,1.21,3.0
223936.23,2.04,1.5,27,210.9,1.28,2.0
478502.31,3.71,1.5,19,197.7,1.29,2.0
398217.1,2.06,2.5,19,239.8,1.35,3.0
242599.92,3.47,3.0,23,224.9,1.36,3.5
282018.99,2.7,1.5,18,193.6,1.14,2.0
282453.15,4.46,2.0,22,233.6,1.48,2.5
355959.59,3.89,1.5,27,209.4,1.49,2.0
171363.44,2.63,1.5,28,201.1,1.22,2.0
291727.45,3.57,1.5,24,220.0,1.26,2.0
341154.44,3.7,2.0,20,214.5,1.27,2.5
311230.3,4.27,3.0,20,225.9,1.27,3.5
261484.58,4.13,2.0,24,209.0,1.23,2.5
289738.37,2.54,3.0,22,234.8,1.36,3.5
156500.68,2.88,3.0,23,217.1,1.15,3.5
443390.03,3.74,2.5,21,224.4,1.26,3.0
434243.57,3.61,3.0,24,201.7,1.33,3.5
499422.96,4.3,2.0,27,232.1,1.3,2.5
176633.1,3.78,2.0,20,197.4,1.2,2.5
314992.97,3.28,3.0,21,220.5,1.46,3.5
233186.36,3.89,2.0,18,204.8,1.31,2.5
321013.7,4.11,1.5,30,228.8,1.24,2.0
192303.07,2.36,2.5,26,207.3,1.22,3.0
478423.72,3.19,1.5,28,206.2,1.28,2.0
485265.75,2.64,3.0,26,208.1,1.34,3.5
310542.87,2.35,1.5,23,203.1,1.29,2.0
219039.62,3.59,2.5,20,197.7,1.39,3.0
367040.33,2.33,1.5,28,220.5,1.33,2.0
398501.08,4.44,1.5,23,233.3,1.15,2.0
155968.87,2.11,2.0,24,235.5,1.44,2.5
288801.21,2.46,3.0,30,194.1,1.41,3.5
461507.52,4.33,3.0,27,236.9,1.22,3.5
437174.25,4.09,2.0,22,197.7,1.25,2.5
379522.63,3.31,1.5,22,208.5,1.16,2.0
215493.04,3.26,2.0,23,205.9,1.25,2.5
261819.06,2.12,3.0,23,209.1,1.16,3.5
471360.24,4.36,2.0,28,227.4,1.5,2.5
385174.1,2.49,2.5,18,199.6,1.39,3.0
304262.45,3.23,2.5,26,202.8,1.27,3.0
477678.62,2.4,3.0,27,208.7,1.43,3.5
423236.18,3.83,2.0,30,199.7,1.1,2.5
360216.85,4.5,2.5,22,228.2,1.26,3.0
363755.36,2.15,3.0,21,215.1,1.29,3.5
376281.49,2.36,3.0,29,231.0,1.4,3.5
318452.65,4.44,3.0,21,200.3,1.47,3.5
281784.89,2.66,1.5,28,208.2,1.33,2.0
260782.34,3.9,2.0,29,215.9,1.26,2.5
184429.48,3.15,3.0,28,228.4,1.26,3.5
309199.27,4.27,3.0,22,199.2,1.49,3.5
191539.32,3.3,1.5,26,235.1,1.29,2.0
182053.14,2.38,2.5,18,199.3,1.27,3.0
180923.86,3.06,1.5,21,211.3,1.23,2.0
206425.22,2.32,2.0,22,215.4,1.19,2.5
442713.03,3.18,3.0,24,207.5,1.28,3.5
418574.69,2.75,2.0,18,231.3,1.42,2.5
477301.84,3.77,2.0,18,191.3,1.38,2.5
303042.72,3.66,3.0,23,213.0,1.41,3.5
419126.16,3.27,2.5,22,194.8,1.26,3.0
348021.5,2.34,1.5,27,198.9,1.16,2.0
210108.32,3.78,3.0,26,197.8,1.4,3.5
308699.27,4.34,2.0,23,223.4,1.46,2.5
336326.23,3.17,2.0,19,237.8,1.47,2.5
184227.5,3.83,3.0,27,225.5,1.1,3.5
396257.92,3.59,2.5,28,239.9,1.36,3.0
488563.78,3.78,2.5,21,204.0,1.14,3.0
155035.58,2.67,2.5,19,201.2,1.17,3.0
245910.17,4.2,1.5,18,214.4,1.39,2.0
308218.18,2.3,3.0,25,192.8,1.11,3.5
347001.68,2.5,3.0,28,194.0,1.25,3.5
410023.52,4.07,2.0,22,217.1,1.27,2.5
220209.63,2.7,3.0,25,212.2,1.49,3.5
291913.16,2.47,2.5,25,192.0,1.42,3.0
268849.13,4.2,1.5,22,232.7,1.25,2.0
487393.25,3.39,2.0,30,199.6,1.31,2.5
211133.99,2.1,2.5,30,230.5,1.31,3.0
490109.78,2.76,2.0,25,237.3,1.16,2.5
276761.85,2.25,3.0,20,204.6,1.33,3.5
497656.33,2.81,3.0,20,192.2,1.45,3.5
360047.71,3.63,3.0,29,238.7,1.31,3.5
238483.85,4.37,2.0,19,232.3,1.3,2.5
235542.47,4.47,2.0,23,224.5,1.19,2.5
258656.69,3.79,3.0,27,222.9,1.37,3.5
227335.74,2.12,2.0,24,191.9,1.38,2.5
177150.06,2.55,2.5,23,204.0,1.4,3.0
363047.54,3.46,2.0,23,217.0,1.41,2.5
485502.53,3.34,2.5,29,190.6,1.23,3.0
156720.89,3.27,1.5,20,218.0,1.17,2.0
444861.82,2.81,3.0,26,218.0,1.36,3.5
191217.97,2.53,1.5,23,210.0,1.28,2.0
400817.69,4.11,1.5,21,221.4,1.27,2.0
467188.2,2.81,2.0,25,235.1,1.19,2.5
416789.44,3.2,1.5,23,239.1,1.49,2.0
410964.91,2.49,1.5,25,193.6,1.25,2.0
150211.78,3.74,2.5,19,198.3,1.22,3.0
166440.39,2.82,3.0,22,206.0,1.47,3.5
271832.48,3.34,1.5,20,218.7,1.17,2.0
490054.56,3.5,2.5,20,195.1,1.23,3.0
498241.5,4.18,2.5,25,215.5,1.28,3.0
154238.43,2.54,1.5,18,213.1,1.31,2.0
334373.99,3.24,1.5,20,209.5,1.39,2.0
471888.49,2.72,2.5,30,234.0,1.17,3.0
